Image Name	Image Position			Image Orientation						Trigger Time
	x	y	z	x1	x2	x3	y1	y2	y3	

sagittal5	-20	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal6	-14	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal7	-8	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal8	-2	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal9	4	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal10	10	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal11	16	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal12	22	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal13	28	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal14	34	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal15	40	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal16	46	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal17	52	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal18	58	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal19	64	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal20	70	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal21	76	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal22	82	-155.8113689	182.4651909	0	1	0	0	0	-1	615
sagittal23	88	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal24	94	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal25	100	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal26	106	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
sagittal27	112	-155.8113689	182.4651909	0	1	0	0	0	-1	612.5
